Ford Ecosport,Ford,2014,528000,106937,DIESEL
Ford Endeavour,Ford,2019,2192000,94389,DIESEL
Ford Figo Aspire,Ford,2021,917000,17959,PETROL
Ford Figo Aspire,Ford,2020,642000,15072,PETROL
Ford FREESTYLE,Ford,2018,611000,31679,PETROL
Ford FREESTYLE,Ford,2020,633000,37077,PETROL
Ford FREESTYLE,Ford,2018,555000,63517,DIESEL
Ford FREESTYLE,Ford,2021,739000,9350,PETROL
Ford FREESTYLE,Ford,2018,502000,59405,DIESEL
Ford FREESTYLE,Ford,2018,653000,34380,PETROL
Ford FREESTYLE,Ford,2018,571000,42024,PETROL
Ford FREESTYLE,Ford,2018,572000,85867,DIESEL
Ford FREESTYLE,Ford,2018,590000,52626,PETROL
Ford FREESTYLE,Ford,2018,524000,76196,PETROL
Ford FREESTYLE,Ford,2018,550000,62700,PETROL
Ford FREESTYLE,Ford,2019,583000,17523,PETROL
Ford FREESTYLE,Ford,2018,539000,26727,PETROL
Ford FREESTYLE,Ford,2019,703000,60282,DIESEL
Ford FREESTYLE,Ford,2018,613000,59005,DIESEL
Ford FREESTYLE,Ford,2018,500000,37625,DIESEL
Ford FREESTYLE,Ford,2018,478000,77281,PETROL
Ford FREESTYLE,Ford,2018,641000,26566,PETROL
Ford FREESTYLE,Ford,2018,593000,87777,DIESEL
Ford FREESTYLE,Ford,2018,652000,71619,DIESEL
Ford FREESTYLE,Ford,2018,607000,54813,PETROL
Ford FREESTYLE,Ford,2018,417000,64572,PETROL
Ford FREESTYLE,Ford,2018,631000,38995,PETROL
Ford FREESTYLE,Ford,2019,546000,34980,PETROL
Ford FREESTYLE,Ford,2021,606000,57662,PETROL
Ford FREESTYLE,Ford,2019,589000,60765,DIESEL
Ford FREESTYLE,Ford,2018,543000,36970,DIESEL
Ford FREESTYLE,Ford,2018,658000,22473,PETROL
Ford FREESTYLE,Ford,2019,572000,22989,PETROL
Ford FREESTYLE,Ford,2018,684000,61129,DIESEL
Ford FREESTYLE,Ford,2018,569000,86349,DIESEL
